,carat,cut,color,clarity,depth,table,price,x,y,z,hold
6,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,1.0
8,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,1.0
16,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,1.0
17,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,1.0
22,0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,1.0
27,0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,1.0
31,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,1.0
35,0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,1.0
37,0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,1.0
38,0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,1.0
42,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,1.0
44,0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,1.0
47,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,1.0
48,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,1.0
52,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,1.0
55,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,1.0
60,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,1.0
64,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,1.0
67,0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,1.0
71,0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,1.0
72,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,1.0
75,0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,1.0
77,0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,1.0
79,0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,1.0
85,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,1.0
88,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,1.0
90,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,1.0
94,0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,1.0
95,0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,1.0
96,0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,1.0
97,0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,1.0
100,0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,1.0
102,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,1.0
106,0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,1.0
110,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,1.0
115,0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,1.0
120,0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,1.0
122,0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,1.0
123,0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,1.0
129,0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,1.0
133,0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,1.0
134,0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,1.0
141,0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,1.0
144,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,1.0
145,0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,1.0
147,0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,1.0
148,0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,1.0
152,0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,1.0
153,0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,1.0
155,0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,1.0
